name,category,price,color,sizes,details,style,about,picture,web
Tretorn,Nylite 2 Sneakers,$85.00,Snow White/Gold,"['4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",null,null,"Legendary Swedish brand Tretorn was founded in 1891 by tire manufacturer Henry Dunker. Moving away from industrial goods, the company refocused on footwear for Sweden?™s growing workforce. By the 1970s, as tennis shoes became a favorite of players at Wimbledon, the brand evolved further into sporty, lightweight shoes anyone could wear. Today, Tretorn shoes include a range of casual and classic styles crafted with the same dedication to quality Henry Dunker envisioned over a century ago.                            See all  Tretorn reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/treto/treto2014555853/treto2014555853_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//lite2-sneakers-tretorn/vp/v=1/1580432412.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=55853
Tretorn,Nylite 25 Plus Lace Up Sneakers,$85.00,Vintage White/Tan Multi,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '11']","['Leather: Cowhide', 'Leopard-print trim', 'Ortholite insole', 'Low tops', 'Flat profile', 'Lace-up at top', 'Rounded toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",TRETO20307,"Legendary Swedish brand Tretorn was founded in 1891 by tire manufacturer Henry Dunker. Moving away from industrial goods, the company refocused on footwear for Sweden?™s growing workforce. By the 1970s, as tennis shoes became a favorite of players at Wimbledon, the brand evolved further into sporty, lightweight shoes anyone could wear. Today, Tretorn shoes include a range of casual and classic styles crafted with the same dedication to quality Henry Dunker envisioned over a century ago.                            See all  Tretorn reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/treto/treto20307117e0/treto20307117e0_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//nylite-plus-laceup-sneakers-tretorn/vp/v=1/1554295920.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=117E0
Tretorn,Nylite 28 Plus Lace Up Sneakers,$70.00,Vintage White/Red Multi/Vinta,"['4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '12']","['Fabric: Canvas', 'Plaid printed logo and tongue', 'Padded footbed', 'Lace-up closure at top', 'Rounded toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",TRETO20377,"Legendary Swedish brand Tretorn was founded in 1891 by tire manufacturer Henry Dunker. Moving away from industrial goods, the company refocused on footwear for Sweden?™s growing workforce. By the 1970s, as tennis shoes became a favorite of players at Wimbledon, the brand evolved further into sporty, lightweight shoes anyone could wear. Today, Tretorn shoes include a range of casual and classic styles crafted with the same dedication to quality Henry Dunker envisioned over a century ago.                            See all  Tretorn reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/treto/treto2037714d2e/treto2037714d2e_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//nylite-plus-lace-sneakers-tretorn/vp/v=1/1543150399.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=14D2E
Tretorn,Nylite 37 Plus Lace Up Sneakers,$95.00,White/Black,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '11']","['Leather: Sheepskin suede', 'Zebra print', 'Cushioned footbed', 'Brushed grommet finish', 'Lace-up closure', 'Rounded toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",TRETO20381,"Legendary Swedish brand Tretorn was founded in 1891 by tire manufacturer Henry Dunker. Moving away from industrial goods, the company refocused on footwear for Sweden?™s growing workforce. By the 1970s, as tennis shoes became a favorite of players at Wimbledon, the brand evolved further into sporty, lightweight shoes anyone could wear. Today, Tretorn shoes include a range of casual and classic styles crafted with the same dedication to quality Henry Dunker envisioned over a century ago.                            See all  Tretorn reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/treto/treto2038111656/treto2038111656_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//nylite-plus-lace-sneakers-tretorn/vp/v=1/1513239748.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=11656
Tretorn,Nylite 4 Plus Sneakers,$70.00,White Multi/Night,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '11']","['Fabric: Tartan twill', 'Leather tongue and logo', 'Cushioned collar and footbed', 'Additional laces included', 'Lace-up closure', 'Rounded toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",TRETO20395,"Legendary Swedish brand Tretorn was founded in 1891 by tire manufacturer Henry Dunker. Moving away from industrial goods, the company refocused on footwear for Sweden?™s growing workforce. By the 1970s, as tennis shoes became a favorite of players at Wimbledon, the brand evolved further into sporty, lightweight shoes anyone could wear. Today, Tretorn shoes include a range of casual and classic styles crafted with the same dedication to quality Henry Dunker envisioned over a century ago.                            See all  Tretorn reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/treto/treto2039515a73/treto2039515a73_q5_2-0._UX357_QL90_.jpg,https://www.shopbop.com//nylite-plus-sneaker-tretorn/vp/v=1/1500393905.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=15A73
Tretorn,Nylite 6 Bold Platform Classic Sneakers,$95.00,Black,"['4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '11']","['Leather: Sheepskin suede', 'Terry cloth lining', 'Tonal logo patch', 'Lace-up closure at top', 'Rounded toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",TRETO20405,"Legendary Swedish brand Tretorn was founded in 1891 by tire manufacturer Henry Dunker. Moving away from industrial goods, the company refocused on footwear for Sweden?™s growing workforce. By the 1970s, as tennis shoes became a favorite of players at Wimbledon, the brand evolved further into sporty, lightweight shoes anyone could wear. Today, Tretorn shoes include a range of casual and classic styles crafted with the same dedication to quality Henry Dunker envisioned over a century ago.                            See all  Tretorn reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/treto/treto204051071c/treto204051071c_q5_2-0._UX357_QL90_.jpg,https://www.shopbop.com//nylite-bold-platform-classic-sneaker/vp/v=1/1574242634.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1071C
Tretorn,Nylite Bold Platform Classic Sneakers,$80.00,Sand/Vintage White,"['5', '5.5', '10']","['Fabric: Linen', 'Platform profile', 'Lace-up at front', 'Rounded toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",TRETO20364,"Legendary Swedish brand Tretorn was founded in 1891 by tire manufacturer Henry Dunker. Moving away from industrial goods, the company refocused on footwear for Sweden?™s growing workforce. By the 1970s, as tennis shoes became a favorite of players at Wimbledon, the brand evolved further into sporty, lightweight shoes anyone could wear. Today, Tretorn shoes include a range of casual and classic styles crafted with the same dedication to quality Henry Dunker envisioned over a century ago.                            See all  Tretorn reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/treto/treto20364139cb/treto20364139cb_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//nylite-bold-platform-classic-sneakers/vp/v=1/1525492190.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=139CB
Tretorn,Nylite Bow Gingham Sneakers,$40.00,Black/White,"['10', '10.5']","['Fabric: Canvas', 'Bow accent', 'Plaid pattern', 'Low tops', 'Flat profile', 'Lace-up at top', 'Rounded toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",TRETO20343,"Legendary Swedish brand Tretorn was founded in 1891 by tire manufacturer Henry Dunker. Moving away from industrial goods, the company refocused on footwear for Sweden?™s growing workforce. By the 1970s, as tennis shoes became a favorite of players at Wimbledon, the brand evolved further into sporty, lightweight shoes anyone could wear. Today, Tretorn shoes include a range of casual and classic styles crafted with the same dedication to quality Henry Dunker envisioned over a century ago.                            See all  Tretorn reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/treto/treto203431138b/treto203431138b_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//nylite-bow-gingham-sneakers-tretorn/vp/v=1/1522185801.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1138B
Tretorn,Nylite Fly Sneakers,$40.00,White/White,"['9.5', '11']","['Fabric: Canvas', 'Signature logo swirl', 'Textured midsole', 'Lace-up at top', 'Rounded toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",TRETO20344,"Legendary Swedish brand Tretorn was founded in 1891 by tire manufacturer Henry Dunker. Moving away from industrial goods, the company refocused on footwear for Sweden?™s growing workforce. By the 1970s, as tennis shoes became a favorite of players at Wimbledon, the brand evolved further into sporty, lightweight shoes anyone could wear. Today, Tretorn shoes include a range of casual and classic styles crafted with the same dedication to quality Henry Dunker envisioned over a century ago.                            See all  Tretorn reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/treto/treto2034412b14/treto2034412b14_q1_2-2._UX357_QL90_.jpg,https://www.shopbop.com//nylite-fly-sneakers-tretorn/vp/v=1/1520005434.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12B14
Tretorn,Nylite Plus Lace Up Sneakers,$70.00,White/Night,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '11']","['Fabric: Canvas', 'Logo accent', 'Padded insole', 'Low tops', 'Flat profile', 'Lace-up at top', 'Rounded toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",TRETO20300,"Legendary Swedish brand Tretorn was founded in 1891 by tire manufacturer Henry Dunker. Moving away from industrial goods, the company refocused on footwear for Sweden?™s growing workforce. By the 1970s, as tennis shoes became a favorite of players at Wimbledon, the brand evolved further into sporty, lightweight shoes anyone could wear. Today, Tretorn shoes include a range of casual and classic styles crafted with the same dedication to quality Henry Dunker envisioned over a century ago.                            See all  Tretorn reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/treto/treto2030033602/treto2030033602_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//nylite-plus-laceup-sneakers-tretorn/vp/v=1/1567306419.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=33602
Tretorn,Nylite Plus Sneakers,$70.00,White/White/White,"['4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",null,null,"Legendary Swedish brand Tretorn was founded in 1891 by tire manufacturer Henry Dunker. Moving away from industrial goods, the company refocused on footwear for Sweden?™s growing workforce. By the 1970s, as tennis shoes became a favorite of players at Wimbledon, the brand evolved further into sporty, lightweight shoes anyone could wear. Today, Tretorn shoes include a range of casual and classic styles crafted with the same dedication to quality Henry Dunker envisioned over a century ago.                            See all  Tretorn reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/treto/treto2016668820/treto2016668820_q1_2-1._UX357_QL90_.jpg,https://www.shopbop.com//nylite-plus-sneakers-tretorn/vp/v=1/1598816749.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=68820
Tretorn,Nylite Sneakers,$70.00,Black,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9.5', '10']","['Fabric: Canvas', 'Leather trim', 'White laces included', 'Lace-up style', 'Flat profile', 'Lace-up at top', 'Rounded toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",TRETO20278,"Legendary Swedish brand Tretorn was founded in 1891 by tire manufacturer Henry Dunker. Moving away from industrial goods, the company refocused on footwear for Sweden?™s growing workforce. By the 1970s, as tennis shoes became a favorite of players at Wimbledon, the brand evolved further into sporty, lightweight shoes anyone could wear. Today, Tretorn shoes include a range of casual and classic styles crafted with the same dedication to quality Henry Dunker envisioned over a century ago.                            See all  Tretorn reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/treto/treto202781071b/treto202781071b_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//nylite-sneakers-tretorn/vp/v=1/1510326819.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1071B
Sam Edelman,Oakland Boots,$140.00,Modern Ivory,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5']","['Leather: Cowhide', 'Croc-embossed leather', 'Western detailing', 'Studded chunky heel', 'Pull tabs', 'Logo emblem', 'Western-style boot', 'Zip at side', 'Rounded toe', 'Man-made sole', 'Imported, China', 'This item cannot be gift-boxed']",SAMED41760,Longtime shoe-industry favorite Sam Edelman has been the modern woman?™s go-to brand for iconic gladiators and chic flats since its inception in 2004. The brand?™s eponymous founder helped launch the Candies and Esprit shoe brands into the fashion canon early on. Edelman?™s impeccable eye for fashion and footwear led to the Sam Edelman brand?™s success as a producer of signature silhouettes and an ever-stylish aesthetic.                            See all  Sam Edelman reviews,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/samed/samed4176058958/samed4176058958_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//oakland-boot-sam-edelman/vp/v=1/1583541290.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=58958
Reike Nen,Oblique Turnover Ring Boots,$498.00,Black,"['35', '36', '36.5', '37', '37.5', '38', '38.5', '39', '39.5', '40']","['Leather: Calfskin', 'Pigskin lining', 'Buckle detailing', 'Chunky heel', 'Rubber sole', 'Imported, Korea', 'This item cannot be gift-boxed']",RENEN30060,"Founded in 2010 by designer Rei Yoon Hong mi, Reike Nen is a footwear label that puts a modern spin on traditional silhouettes. Manufactured in the finest leather, sumptuous velvet, and faux fur, Reike Nen pumps balance rich textures with clean, minimalist lines and retro elements. It's a truly artistic label?”but don't just take our word for it. You can only fully appreciate Reike Nen shoes once they are on your feet!",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/renen/renen300601071c/renen300601071c_q1_2-1._UX357_QL90_.jpg,https://www.shopbop.com//oblique-turnover-ring-boots-reike/vp/v=1/1534840369.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1071C
SeaVees,Ocean Park Mules,$49.00,Denim,"['5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5']","['Fabric: Denim', 'Braided jute insole', 'Mules', 'Rounded toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",SEAVE30148,"Established in 1964, SeaVees pioneered the casual, coastal style that defined California in the 1960s. Nearly 40 years later, shoe designer Steven Tiller was wandering the streets of Tokyo and stumbled upon a pair of SeaVees sneakers in a surplus shop filled with vintage Americana. With this chance encounter, Tiller was inspired to rehabilitate the abandoned brand. Now in its second chapter, SeaVees honors its '60s origins by making modern amendments to classic designs, resulting in timeless SeaVees sneakers of exceptional quality.",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/seave/seave3014811554/seave3014811554_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//ocean-park-mule-seavees/vp/v=1/1579215016.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=11554
Paloma Barcelo,Oda Sandals,$204.00,Natural,"['35', '36', '37', '39', '40', '41']","['Fabric: Braided jute', 'Braided straw platform', 'Strappy silhouette', 'Platform profile', 'Buckle at ankle', 'Open toe', 'Rubber heel patch at leather sole', 'Made in Spain', 'This item cannot be gift-boxed']",PBARC30085,"The BarcelÃ³ family story begins with master weaver and rope-maker Manolo BarcelÃ³ founding the Cosi-Cosi footwear factory in 1960. After learning the trade from his father and honing his skills in the fashion industry, Manuel BarcelÃ³ MartÃ­nez launched Paloma BarcelÃ³ footwear in 2002. With timeless designs and modern detailing, Paloma BarcelÃ³ footwear has become synonymous with quality and style, through expert construction and dedication to the craft.",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/pbarc/pbarc3008511611/pbarc3008511611_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//oda-sandal-paloma-barcelo/vp/v=1/1530713025.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=11611
Reike Nen,Odd Pair Sandals,$338.00,White,['39'],"['Leather: Sheepskin', 'Smooth leather upper with pigskin lining', 'Mismatched toe straps', 'Chunky heel', 'Tie closure at ankle', 'Open toe', 'Rubber sole', 'Imported, Korea', 'This item cannot be gift-boxed']",RENEN30053,"Founded in 2010 by designer Rei Yoon Hong mi, Reike Nen is a footwear label that puts a modern spin on traditional silhouettes. Manufactured in the finest leather, sumptuous velvet, and faux fur, Reike Nen pumps balance rich textures with clean, minimalist lines and retro elements. It's a truly artistic label?”but don't just take our word for it. You can only fully appreciate Reike Nen shoes once they are on your feet!",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/renen/renen3005312397/renen3005312397_q2_2-0._UX357_QL90_.jpg,https://www.shopbop.com//odd-pair-sandals-reike-nen/vp/v=1/1585695686.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12397
Stuart Weitzman,Odette Slingback Pumps,$197.50,Flamingo,['5.5'],"['Leather: Goatskin', 'Slingback strap', 'Suede', 'Pumps', 'Kitten heel', 'Pointed toe', 'Rubber heel patch at leather sole', 'Made in Spain', 'This item cannot be gift-boxed']",STUAR21012,"Stuart Weitzman set out for a career on Wall Street, but his natural eye for beauty, attention to detail, and technical expertise led him instead to shoe design. Weitzman worked for his father's company, which he took over in 1965, and has since forged a tradition of chic pumps to stylish  boots and studded stilettos. Crafted in sumptuous leathers and suede, Stuart Weitzman shoes embody both high quality and artistic excellence.                            See all  Stuart Weitzman reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/stuar/stuar2101210999/stuar2101210999_q5_2-0._UX357_QL90_.jpg,https://www.shopbop.com//odette-slingback-pump-stuart-weitzman/vp/v=1/1587838456.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=10999
Sam Edelman,Odila Sandals,$100.00,Bright White,"['5', '5.5', '6', '7.5', '8', '8.5', '9', '9.5', '10', '11']","['Leather: Goatskin', 'Gold-tone logo emblem', 'Pumps', 'Chunky heel', 'Buckle at ankle', 'Rounded toe', 'Imported, Vietnam', 'This item cannot be gift-boxed']",SAMED41677,Longtime shoe-industry favorite Sam Edelman has been the modern woman?™s go-to brand for iconic gladiators and chic flats since its inception in 2004. The brand?™s eponymous founder helped launch the Candies and Esprit shoe brands into the fashion canon early on. Edelman?™s impeccable eye for fashion and footwear led to the Sam Edelman brand?™s success as a producer of signature silhouettes and an ever-stylish aesthetic.                            See all  Sam Edelman reviews,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/samed/samed4167714968/samed4167714968_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//odila-sandal-sam-edelman/vp/v=1/1595524030.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=14968
Off-White,Odsy-1000 Sneakers,$747.00,Nude/Blue,"['35', '37', '38', '39', '40']","['Leather: Cowhide', 'Nubuck upper with mesh panels', 'Grosgrain pull tab', 'Rubber trim', 'Chunky design', 'Signature zip tie attached', 'Lace-up closure at top', 'Rounded toe', 'Rubber sole', 'Made in Italy', 'This item cannot be gift-boxed']",OFFWH30111,Coming Soon,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/offwh/offwh3011128251/offwh3011128251_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//odsy-1000-sneaker-off-white/vp/v=1/1536995221.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=28251
Off-White,Off Court Sneakers,$664.00,White/Multi,"['35', '36', '37', '38', '39', '40', '41']","['Leather: Calfskin suede', 'Neon and glitter accents', 'Brand logo at side', 'Worn in design', 'Signature brand zip tie', 'High tops', 'Flat profile', 'Lace-up at top', 'Rounded toe', 'Rubber sole', 'Made in Italy', 'This item cannot be gift-boxed', 'COLOR: NEON COLOR is brighter than it appears in still photos.']",OFFWH30097,Coming Soon,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/offwh/offwh300971052f/offwh300971052f_q4_2-0._UX357_QL90_.jpg,https://www.shopbop.com//off-court-sneaker-white/vp/v=1/1516632885.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=1052F
Joie,Okaba Sandals,$208.60,Sand,"['36.5', '38', '39', '39.5', '41']","['Leather: Calfskin', 'Stacked heel', 'Suede', 'Strappy silhouette', 'Chunky heel', 'Buckle at ankle', 'Open toe', 'Rubber heel patch at leather sole', 'Imported, China', 'This item cannot be gift-boxed']",JOIEA42514,"Since its inception in 2001, Joie has become a highly sought-after contemporary brand that appeals to fashion-minded women around the globe. Chic, understated Joie tops and dresses are inspired by the casual, yet sophisticated Southern California way of life, drawing influence from vintage creations while keeping a fresh, modern point of view. The Joie concept has always been ?œcasual, comfortable and luxurious,??and each piece of Joie clothing effortlessly balances these three elements.                            See all  Joie reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/joiea/joiea4251410099/joiea4251410099_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//okaba-sandal-joie/vp/v=1/1554522291.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=10099
Pedro Garcia,Olaf Sneaker Boots,$675.00,Black Castoro,"['36', '37', '37.5', '38', '39', '40', '41']","['Fur: Dyed lamb shearling, from Spain', 'Leather: Lambskin', 'Lightly padded leather insole', 'Textured synthetic sole', 'Wedge heel', 'Lace-up at top', 'Rounded toe', 'Made in Spain', 'This item cannot be gift-boxed']",PEDRO40403,"Shoe label Pedro Garcia is built on a foundation of exquisite quality and painstaking craftsmanship, drawing knowledge from three generations in the footwear business. Grounded, but driven by a love of design, Pedro Garcia footwear offers striking juxtapositions in every pair, creating refined silhouettes with deliberately rough-hewn finishes. Glamorous details give Pedro Garcia shoes an eclectic, sophisticated edge that has become the brand?™s trademark. Manufactured exclusively in Elda, Spain, Pedro Garcia aims for positive, ethical production and has a strong commitment to the local environment.",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/pedro/pedro4040361433/pedro4040361433_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//olaf-sneaker-boot-pedro-garcia/vp/v=1/1517806516.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=61433
No.6,Old School High Heel Clogs,$290.00,Pink Sand,"['35', '36', '37', '41']","['Leather: Cowhide', 'Clog silhouette', 'Chunky heel', 'Platform profile', 'Rounded toe', 'Synthetic sole', 'Made in the USA', 'This item cannot be gift-boxed']",NOSIX30110,"Morgan Yakus and Karin Bereson launched their popular New York boutique No.6 in 2005, and soon after created their in-house footwear label of the same name. No.6 shoes started with classic wooden-soled clogs as the main silhouette, and the brand has evolved to include clog boots and shearling-trimmed winter pairs as well. No.6 clogs and boots offer relaxed comfort, with styles that blend vintage and modern elements to revitalize and refresh a time-tested silhouette.                            See all  No.6 reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/nosix/nosix3011011596/nosix3011011596_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//old-school-high-heel-clogs/vp/v=1/1549512621.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=11596
No.6,Old School Mid Heel Clogs,$345.00,Cow Pony/Black,"['35', '36', '37', '38', '39', '40']","['Fur: Dyed haircalf (cow), from Italy', 'Lightweight wooden midsole', 'Unlined footbed', 'Rounded toe', 'Rubber sole', 'Made in the USA', 'This item cannot be gift-boxed']",NOSIX30113,"Morgan Yakus and Karin Bereson launched their popular New York boutique No.6 in 2005, and soon after created their in-house footwear label of the same name. No.6 shoes started with classic wooden-soled clogs as the main silhouette, and the brand has evolved to include clog boots and shearling-trimmed winter pairs as well. No.6 clogs and boots offer relaxed comfort, with styles that blend vintage and modern elements to revitalize and refresh a time-tested silhouette.                            See all  No.6 reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/nosix/nosix3011315b18/nosix3011315b18_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//old-school-mid-heel-clog/vp/v=1/1587205266.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=15B18
No.6,Old School Mid Heel Clog,$285.00,Light Grey,"['35', '36', '37', '38', '40', '41']","['Leather: Cowhide', 'Suede', 'Poplar wood platform', 'Clog silhouette', 'Chunky heel', 'Platform profile', 'Rounded toe', 'Rubber sole', 'Made in the USA', 'This item cannot be gift-boxed']",NOSIX30049,"Morgan Yakus and Karin Bereson launched their popular New York boutique No.6 in 2005, and soon after created their in-house footwear label of the same name. No.6 shoes started with classic wooden-soled clogs as the main silhouette, and the brand has evolved to include clog boots and shearling-trimmed winter pairs as well. No.6 clogs and boots offer relaxed comfort, with styles that blend vintage and modern elements to revitalize and refresh a time-tested silhouette.                            See all  No.6 reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/nosix/nosix3004911745/nosix3004911745_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//old-school-mid-heel-clog/vp/v=1/1536249120.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=11745
Loeffler Randall,Olive Ruffle Pool Slides,$118.00,Black/Multi,"['8.5', '9']","['Leather: Goatskin', 'Ruffles with rickrack trim', 'Slide sandals', 'Open toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",LOEFF41286,"Loeffler Randall is a collaboration between husband and wife duo Jessie Randall and Brian Murphy. Jessie, the designer, and Brian, an award-winning art director who markets the brand, set out to create the perfect shoe for the chic, modern girl, focusing on clean design and stunning materials, and in 2007, won the CFDA Swarovski Award for Accessory Design. The line has since expanded into apparel, and its mix of sophistication and downtown cool is seen in every dress, blouse, and blazer.                            See all  Loeffler Randall reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/loeff/loeff4128612785/loeff4128612785_q5_2-0._UX357_QL90_.jpg,https://www.shopbop.com//olive-ruffle-pool-slide-loeffler/vp/v=1/1515231215.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12785
Soludos,Olivia Block Heel Sandals,$111.30,Desert,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5']","['Leather: Cowhide suede', 'Woven wicker heel', 'Strappy silhouette', 'Buckle at ankle', 'Open toe', 'Man-made sole', 'Imported, China', 'This item cannot be gift-boxed']",SOLUD40872,"Based on the traditional espadrilles that have been sold in the markets and on the beaches of the Mediterranean for centuries, Soludos shoes have long been treasured for their classic style, comfort, and flexibility. The natural, eco-friendly jute sole and the cotton upper create a shoe that breathes with every step, making Soludos espadrilles perfect for the beach, the city, and everywhere in between.                            See all  Soludos reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/solud/solud4087212609/solud4087212609_q1_2-1._UX357_QL90_.jpg,https://www.shopbop.com//olivia-block-heel-sandals-soludos/vp/v=1/1521148301.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=12609
Soludos,Olympia Sandal Espadrilles,$74.50,Tan,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '11']","['Leather: Cowhide', 'Smooth leather straps and a padded leather footbed', 'Platform profile with a braided jute midsole', 'Whipstitch trim', 'Buckle closure with an elastic inset', 'Open toe', 'Rubber sole', 'Imported, China', 'This item cannot be gift-boxed']",SOLUD40880,"Based on the traditional espadrilles that have been sold in the markets and on the beaches of the Mediterranean for centuries, Soludos shoes have long been treasured for their classic style, comfort, and flexibility. The natural, eco-friendly jute sole and the cotton upper create a shoe that breathes with every step, making Soludos espadrilles perfect for the beach, the city, and everywhere in between.                            See all  Soludos reviews",https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/solud/solud4088011841/solud4088011841_q1_2-0._UX357_QL90_.jpg,https://www.shopbop.com//olympia-sandal-espadrilles-soludos/vp/v=1/1539844444.htm?folderID=13438&fm=other-shopbysize-viewall&os=false&colorId=11841
